RawAbundance,sample,group
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
145493.9531,Abundance.F1.Sample.non.treated,non_treated
4958508.156,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
2285102.75,Abundance.F1.Sample.non.treated,non_treated
1023755.906,Abundance.F1.Sample.non.treated,non_treated
153505.8594,Abundance.F1.Sample.non.treated,non_treated
1682234.781,Abundance.F1.Sample.non.treated,non_treated
224647.3906,Abundance.F1.Sample.non.treated,non_treated
1630740.906,Abundance.F1.Sample.non.treated,non_treated
216086.3125,Abundance.F1.Sample.non.treated,non_treated
45383366.75,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
2857983.695,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
2613201.906,Abundance.F1.Sample.non.treated,non_treated
2272126.922,Abundance.F1.Sample.non.treated,non_treated
104116401.4,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1131393.922,Abundance.F1.Sample.non.treated,non_treated
1567621.484,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
529488.0938,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1932842.531,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
5831166.594,Abundance.F1.Sample.non.treated,non_treated
129580.1484,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
71147.74219,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
3418261.797,Abundance.F1.Sample.non.treated,non_treated
5930614.656,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
122410.3125,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
190837.875,Abundance.F1.Sample.non.treated,non_treated
4493680.5,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
402942.8984,Abundance.F1.Sample.non.treated,non_treated
1678254.393,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
2721903.25,Abundance.F1.Sample.non.treated,non_treated
14128304.53,Abundance.F1.Sample.non.treated,non_treated
421922.4688,Abundance.F1.Sample.non.treated,non_treated
401862.8125,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1467505.875,Abundance.F1.Sample.non.treated,non_treated
66190.47656,Abundance.F1.Sample.non.treated,non_treated
173255.875,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1122371.547,Abundance.F1.Sample.non.treated,non_treated
3321360.641,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
284753.6875,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
6860191.016,Abundance.F1.Sample.non.treated,non_treated
12093587.14,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
193548.2188,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
398214,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
393366.125,Abundance.F1.Sample.non.treated,non_treated
1151449.813,Abundance.F1.Sample.non.treated,non_treated
6049629.977,Abundance.F1.Sample.non.treated,non_treated
235058.875,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
32370184.44,Abundance.F1.Sample.non.treated,non_treated
979853.375,Abundance.F1.Sample.non.treated,non_treated
2088232.109,Abundance.F1.Sample.non.treated,non_treated
82519.04688,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1037741.664,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
230229.2188,Abundance.F1.Sample.non.treated,non_treated
11322138.34,Abundance.F1.Sample.non.treated,non_treated
216801.8125,Abundance.F1.Sample.non.treated,non_treated
931341.75,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
359658.75,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
252279.2188,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1777696.5,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
